"IDROWCOL","Value"
"2019_Preston_V1_6_6",2
"2019_Preston_V2_6_6",1
"2019_Preston_V3_6_6",2
"2019_Preston_W1_6_6",0
"2019_Preston_W2_6_6",4
"2019_Preston_W3_6_6",2
"2019_Preston_STD_6_7",3
"2019_Preston_V1_6_7",2
"2019_Preston_V2_6_7",2
"2019_Preston_V3_6_7",2
"2019_Preston_W1_6_7",4
"2019_Preston_W2_6_7",4
"2019_Preston_W3_6_7",2
"2019_Preston_STD_6_8",2
"2019_Preston_V1_6_8",2
"2019_Preston_V2_6_8",2
"2019_Preston_V3_6_8",2
"2019_Preston_W1_6_8",0
"2019_Preston_W2_6_8",4
"2019_Preston_W3_6_8",2
"2019_Preston_STD_6_9",3
"2019_Preston_V1_6_9",3
"2019_Preston_V2_6_9",3
"2019_Preston_V3_6_9",2
"2019_Preston_W1_6_9",0
"2019_Preston_W2_6_9",3
"2019_Preston_W3_6_9",2
"2019_Preston_STD_7_1",3
"2019_Preston_V1_7_1",3
"2019_Preston_V2_7_1",2
"2019_Preston_V3_7_1",1
"2019_Preston_W1_7_1",4
"2019_Preston_W2_7_1",3
"2019_Preston_W3_7_1",2
"2019_Preston_STD_7_2",3
"2019_Preston_V1_7_2",3
"2019_Preston_V2_7_2",3
"2019_Preston_V3_7_2",1
"2019_Preston_W1_7_2",4
"2019_Preston_W2_7_2",4
"2019_Preston_W3_7_2",1
"2019_Preston_STD_7_3",3
"2019_Preston_V1_7_3",3
"2019_Preston_V2_7_3",2
"2019_Preston_V3_7_3",1
"2019_Preston_W1_7_3",4
"2019_Preston_W2_7_3",4
"2019_Preston_W3_7_3",1
"2019_Preston_STD_7_4",3
"2019_Preston_V1_7_4",3
"2019_Preston_V2_7_4",3
"2019_Preston_V3_7_4",1
"2019_Preston_W1_7_4",4
"2019_Preston_W2_7_4",4
"2019_Preston_W3_7_4",2
"2019_Preston_STD_7_5",3
"2019_Preston_V1_7_5",3
"2019_Preston_V2_7_5",2
"2019_Preston_V3_7_5",1
"2019_Preston_W1_7_5",4
"2019_Preston_W2_7_5",4
"2019_Preston_W3_7_5",1
"2019_Preston_STD_7_6",2
"2019_Preston_V1_7_6",2
"2019_Preston_V2_7_6",2
"2019_Preston_V3_7_6",2
"2019_Preston_W1_7_6",4
"2019_Preston_W2_7_6",4
"2019_Preston_W3_7_6",3
"2019_Preston_STD_7_7",2
"2019_Preston_V1_7_7",2
"2019_Preston_V2_7_7",2
"2019_Preston_V3_7_7",2
"2019_Preston_W1_7_7",4
"2019_Preston_W2_7_7",4
"2019_Preston_W3_7_7",1
"2019_Preston_STD_7_8",3
"2019_Preston_V1_7_8",3
"2019_Preston_V2_7_8",3
"2019_Preston_V3_7_8",2
"2019_Preston_W1_7_8",5
"2019_Preston_W2_7_8",4
"2019_Preston_W3_7_8",2
"2019_Preston_STD_7_9",2
"2019_Preston_V1_7_9",3
"2019_Preston_V2_7_9",2
"2019_Preston_V3_7_9",2
"2019_Preston_W1_7_9",0
"2019_Preston_W2_7_9",1
"2019_Preston_W3_7_9",2
"2019_Preston_STD_8_1",2
"2019_Preston_V1_8_1",2
"2019_Preston_V2_8_1",2
"2019_Preston_V3_8_1",2
"2019_Preston_W1_8_1",2
"2019_Preston_W2_8_1",2
"2019_Preston_W3_8_1",2
"2019_Preston_STD_8_2",2
"2019_Preston_V1_8_2",2
"2019_Preston_V2_8_2",3
"2019_Preston_V3_8_2",2
"2019_Preston_W1_8_2",1
"2019_Preston_W2_8_2",3
"2019_Preston_W3_8_2",2
"2019_Preston_STD_8_3",3
"2019_Preston_V1_8_3",2
"2019_Preston_V2_8_3",2
"2019_Preston_V3_8_3",2
"2019_Preston_W1_8_3",3
"2019_Preston_W2_8_3",3
"2019_Preston_W3_8_3",4
"2019_Preston_STD_8_4",2
"2019_Preston_V1_8_4",2
"2019_Preston_V2_8_4",2
"2019_Preston_V3_8_4",2
"2019_Preston_W1_8_4",2
"2019_Preston_W2_8_4",2
"2019_Preston_W3_8_4",2
"2019_Preston_STD_8_5",3
"2019_Preston_V1_8_5",3
"2019_Preston_V2_8_5",1
"2019_Preston_V3_8_5",2
"2019_Preston_W1_8_5",1
"2019_Preston_W2_8_5",3
"2019_Preston_W3_8_5",3
"2019_Preston_STD_8_6",2
"2019_Preston_V1_8_6",2
"2019_Preston_V2_8_6",1
"2019_Preston_V3_8_6",2
"2019_Preston_W1_8_6",2
"2019_Preston_W2_8_6",2
"2019_Preston_W3_8_6",1
"2019_Preston_STD_8_7",3
"2019_Preston_V1_8_7",3
"2019_Preston_V2_8_7",2
"2019_Preston_V3_8_7",2
"2019_Preston_W1_8_7",3
"2019_Preston_W2_8_7",4
"2019_Preston_W3_8_7",2
"2019_Preston_STD_8_8",3
"2019_Preston_V1_8_8",2
"2019_Preston_V2_8_8",2
"2019_Preston_V3_8_8",2
