IDXGT,adjmth1
2019_Preston_W2_NorLin,3.344444444
2019_Preston_W2_NorLin,4.144444444
2019_Preston_W2_NorLin,3.444444444
2019_Preston_W2_NorLin,2.344444444
2019_Preston_W2_NorLin,3.544444444
2019_Preston_W2_NorLin,2.544444444
2019_Preston_W2_NorLin,4.444444444
2019_Preston_W2_NorLin,4.844444444
2019_Preston_W2_NorLin,4.844444444
2019_Preston_W2_NorLin,4.122222222
2019_Preston_W2_NorLin,4.922222222
2019_Preston_W2_NorLin,3.222222222
2019_Preston_W2_NorLin,3.122222222
2019_Preston_W2_NorLin,3.322222222
2019_Preston_W2_NorLin,3.322222222
2019_Preston_W2_NorLin,3.222222222
2019_Preston_W2_NorLin,4.622222222
2019_Preston_W2_NorLin,3.622222222
2019_Preston_W2_NorLin,5.011111111
2019_Preston_W2_NorLin,3.811111111
2019_Preston_W2_NorLin,3.111111111
2019_Preston_W2_NorLin,5.011111111
2019_Preston_W2_NorLin,3.211111111
2019_Preston_W2_NorLin,3.211111111
2019_Preston_W2_NorLin,3.111111111
2019_Preston_W2_NorLin,3.511111111
2019_Preston_W2_NorLin,3.511111111
2019_Preston_W2_Novelty,4.111111111
2019_Preston_W2_Novelty,7.288888889
2019_Preston_W2_Novelty,5.222222222
2019_Preston_W3_Flanders,3
2019_Preston_W3_Flanders,2.6
2019_Preston_W3_Flanders,1.988888889
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,2.022222222
2019_Preston_W3_NorLin,1.322222222
2019_Preston_W3_NorLin,4.222222222
2019_Preston_W3_NorLin,3.122222222
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,2.222222222
2019_Preston_W3_NorLin,1.822222222
2019_Preston_W3_NorLin,1.922222222
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,1.211111111
2019_Preston_W3_NorLin,2.111111111
2019_Preston_W3_NorLin,4.011111111
2019_Preston_W3_NorLin,1.711111111
2019_Preston_W3_NorLin,2.111111111
2019_Preston_W3_NorLin,1.711111111
2019_Preston_W3_NorLin,3.811111111
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,1.8
2019_Preston_W3_NorLin,2.1
2019_Preston_W3_NorLin,3
2019_Preston_W3_NorLin,0.9
2019_Preston_W3_NorLin,1.6
2019_Preston_W3_NorLin,3
2019_Preston_W3_NorLin,1.6
2019_Preston_W3_NorLin,4.7
2019_Preston_W3_NorLin,1.277777778
2019_Preston_W3_NorLin,3.577777778
2019_Preston_W3_NorLin,2.877777778
2019_Preston_W3_NorLin,2.777777778
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,3.377777778
2019_Preston_W3_NorLin,3.777777778
2019_Preston_W3_NorLin,0.377777778
2019_Preston_W3_NorLin,1.477777778
2019_Preston_W3_NorLin,0
2019_Preston_W3_NorLin,2.355555556
2019_Preston_W3_NorLin,3.655555556
2019_Preston_W3_NorLin,1.555555556
2019_Preston_W3_NorLin,2.455555556
2019_Preston_W3_NorLin,2.155555556
2019_Preston_W3_NorLin,1.555555556
2019_Preston_W3_NorLin,3.155555556
2019_Preston_W3_NorLin,1.255555556
2019_Preston_W3_NorLin,3.5
2019_Preston_W3_NorLin,1.8
2019_Preston_W3_NorLin,2.1
2019_Preston_W3_NorLin,1
2019_Preston_W3_NorLin,1.9
2019_Preston_W3_NorLin,2.6
2019_Preston_W3_NorLin,2
2019_Preston_W3_NorLin,2.6
2019_Preston_W3_NorLin,1.7
2019_Preston_W3_NorLin,3.5
2019_Preston_W3_NorLin,1.8
2019_Preston_W3_NorLin,1.1
2019_Preston_W3_NorLin,2
2019_Preston_W3_NorLin,1.9
2019_Preston_W3_NorLin,3.6
2019_Preston_W3_NorLin,1
2019_Preston_W3_NorLin,2.6
2019_Preston_W3_NorLin,1.7
2019_Preston_W3_NorLin,2.944444444
2019_Preston_W3_NorLin,2.244444444
2019_Preston_W3_NorLin,3.544444444
2019_Preston_W3_NorLin,1.444444444
2019_Preston_W3_NorLin,3.344444444
2019_Preston_W3_NorLin,1.044444444
2019_Preston_W3_NorLin,1.444444444
2019_Preston_W3_NorLin,2.044444444
2019_Preston_W3_NorLin,1.144444444
2019_Preston_W3_NorLin,2.388888889
2019_Preston_W3_NorLin,2.688888889
2019_Preston_W3_NorLin,1.988888889
2019_Preston_W3_NorLin,1.888888889
2019_Preston_W3_NorLin,1.788888889
2019_Preston_W3_NorLin,2.488888889
2019_Preston_W3_NorLin,1.888888889
2019_Preston_W3_NorLin,2.488888889
2019_Preston_W3_NorLin,1.588888889
2019_Preston_W3_NorLin,2.833333333
2019_Preston_W3_NorLin,2.133333333
2019_Preston_W3_NorLin,1.433333333
2019_Preston_W3_NorLin,1.333333333
2019_Preston_W3_NorLin,2.233333333
2019_Preston_W3_NorLin,1.933333333
2019_Preston_W3_NorLin,2.333333333
2019_Preston_W3_NorLin,2.933333333
2019_Preston_W3_NorLin,2.033333333
2019_Preston_W3_Novelty,2
2019_Preston_W3_Novelty,7.6
2019_Preston_W3_Novelty,3.988888889
